,id,model,elayer,filter,seq_len,dlayer,fc,ma,acc
0,Autoformer21low250_2_ma50,Autoformer,2,low,250,1,2,50,0.3949434388472498
1,Autoformer21low500_2_ma50,Autoformer,2,low,500,1,2,50,0.4071752929714788
2,Crossformer21low250_2_ma50,Crossformer,2,low,250,1,2,50,0.4462791712217586
3,Crossformer21low500_2_ma50,Crossformer,2,low,500,1,2,50,0.4998448324992354
4,DLinear21low250_2_ma50,DLinear,2,low,250,1,2,50,0.5933867539016345
5,DLinear21low500_2_ma50,DLinear,2,low,500,1,2,50,0.5858673585995641
6,FEDformer21low250_2_ma50,FEDformer,2,low,250,1,2,50,0.40687265868927874
7,FEDformer21low500_2_ma50,FEDformer,2,low,500,1,2,50,0.4416109459423295
8,Informer21low250_2_ma50,Informer,2,low,250,1,2,50,0.6879224524620873
9,Informer21low500_2_ma50,Informer,2,low,500,1,2,50,0.6958135285710539
10,LightTS21low250_2_ma50,LightTS,2,low,250,1,2,50,0.6501379811875748
11,LightTS21low500_2_ma50,LightTS,2,low,500,1,2,50,0.6575053316089635
12,Nonstationary_Transformer21low250_2_ma50,NSformer,2,low,250,1,2,50,0.6446790884771516
13,Nonstationary_Transformer21low500_2_ma50,NSformer,2,low,500,1,2,50,0.653757104056303
14,PatchTST21low250_2_ma50,PatchTST,2,low,250,1,2,50,0.47724222823712115
15,PatchTST21low500_2_ma50,PatchTST,2,low,500,1,2,50,0.44698127651868325
16,Pyraformer21low250_2_ma50,Pyraformer,2,low,250,1,2,50,0.6721653477121434
17,Pyraformer21low500_2_ma50,Pyraformer,2,low,500,1,2,50,0.6845190951674491
18,Reformer21low250_2_ma50,Reformer,2,low,250,1,2,50,0.6504994910047059
19,Reformer21low500_2_ma50,Reformer,2,low,500,1,2,50,0.7032367818119151
20,TimesNet21low250_1_ma50,TimesNet,2,low,250,1,1,50,0.6785705725078792
21,TimesNet21low500_1_ma50,TimesNet,2,low,500,1,1,50,0.6978380814626532
22,Transformer21low250_2_ma50,Transformer,2,low,250,1,2,50,0.6638806643541686
23,Transformer21low500_2_ma50,Transformer,2,low,500,1,2,50,0.6747284642477335
24,bp21low250_2_ma50,bp,2,low,250,1,2,50,0.6464515584558371
25,bp21low500_2_ma50,bp,2,low,500,1,2,50,0.6835239839461041
26,consinc_net21low250_1_ma50,consinc_net,2,low,250,1,1,50,0.6354908087929497
27,consinc_net21low500_1_ma50,consinc_net,2,low,500,1,1,50,0.6343970047212566
28,consinc_net21mean250_1_ma50,consinc_net,2,mean,250,1,1,50,0.5949541821189236
29,consinc_net21mean500_1_ma50,consinc_net,2,mean,500,1,1,50,0.6473864095195138
30,conv_net21low250_2_ma50,conv_net,2,low,250,1,2,50,0.6933704322140802
31,conv_net21low500_2_ma50,conv_net,2,low,500,1,2,50,0.7209283156859789
32,conv_next21low250_2_ma50,conv_next,2,low,250,1,2,50,0.3197757573584092
33,fcn21low250_2_ma50,fcn,2,low,250,1,2,50,0.690343254598961
34,fcn21low500_2_ma50,fcn,2,low,500,1,2,50,0.7145313604361135
35,fcn_m21low250_2_ma50,fcn_m,2,low,250,1,2,50,0.6556452719540179
36,fcn_m21low500_2_ma50,fcn_m,2,low,500,1,2,50,0.6684826504912037
37,lstm21low250_2_ma50,lstm,2,low,250,1,2,50,0.6794902489970863
38,lstm21low500_2_ma50,lstm,2,low,500,1,2,50,0.7009655006624895
39,lstm_fcn21low250_2_ma50,lstm_fcn,2,low,250,1,2,50,0.6633863842509549
40,lstm_fcn21low500_2_ma50,lstm_fcn,2,low,500,1,2,50,0.6853201124041859
41,sinc_net21low250_1_ma50,sinc_net,2,low,250,1,1,50,0.6275538156958489
42,sinc_net21low500_1_ma50,sinc_net,2,low,500,1,1,50,0.5756489673648556
